Различия в данных ожидаемых и реальных связано с малым количеством отправленных заявок. Как можно увидеть, чем ближе друг к другу интенсивность потока заявок и интенсивность их обслуживания, тем меньше их вероятность простоя и отклонения.
Теоретические данные отличаются от экспермиментальных в связи стем, что отправляется относительно малое количество заявок (100 штук в каждом эксперименте)
Вероятность простоя тем меньше, чем ближе друг к другу интенсивность потока заявок и интенсивность их обслуживания
Вероятность отказа тем меньше чем больше интенсивность обслуживания заявок по сранению с интенсивностью их потока
То же самое можно сказать про относительную и абсолютную пропускную способность, а так же про среднее число занятых каналов
Отрицательные значения иногда встречаются из-за ограничений вычисления чисел с плавающей точкой

Количестве каналов: 5
лямбда   мю       P0(эксп.- теор.)   Pn(эксп.- теор.)   Q(эксп. - теор.)   A(эксп. - теор.)   k(эксп. - теор.)
5,00000; 1,00000; 0,00078 - 0,01530; 0,00000 - 0,39834; 1,00000 - 0,60166; 5,00000 - 3,00829; 4,85200 - 3,00829
5,00000; 1,50000; 0,00078 - 0,04716; 0,00000 - 0,16172; 1,00000 - 0,83828; 5,00000 - 4,19141; 3,25195 - 2,79427
5,00000; 2,00000; 0,00078 - 0,09211; 0,00000 - 0,07496; 1,00000 - 0,92504; 5,00000 - 4,62521; 2,48209 - 2,31260
5,00000; 2,50000; 0,00079 - 0,14286; 0,00000 - 0,03810; 1,00000 - 0,96190; 5,00000 - 4,80952; 1,96848 - 1,92381
5,00000; 3,00000; 0,00079 - 0,19423; 0,00000 - 0,02081; 1,00000 - 0,97919; 5,00000 - 4,89593; 1,65357 - 1,63198
5,00000; 3,50000; 0,00079 - 0,24340; 0,00000 - 0,01207; 1,00000 - 0,98793; 5,00000 - 4,93966; 1,42891 - 1,41133
5,00000; 4,00000; 0,00078 - 0,28914; 0,00000 - 0,00735; 1,00000 - 0,99265; 5,00000 - 4,96323; 1,26661 - 1,24081
5,00000; 4,50000; 0,00079 - 0,33107; 0,00000 - 0,00467; 1,00000 - 0,99533; 5,00000 - 4,97664; 1,12726 - 1,10592
5,00000; 5,00000; 0,02113 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 5,00000 - 4,98462; 0,97887 - 0,99692
5,00000; 5,50000; 0,09133 - 0,40388; 0,00000 - 0,00209; 1,00000 - 0,99791; 5,00000 - 4,98955; 0,90867 - 0,90719
5,00000; 6,00000; 0,16993 - 0,43533; 0,00000 - 0,00146; 1,00000 - 0,99854; 5,00000 - 4,99271; 0,83007 - 0,83212
5,50000; 0,50000; 0,00085 - 0,00111; 0,54000 - 1,48400; 0,46000 - -0,48400; 2,53000 - -2,66199; 4,77455 - -5,32399
5,50000; 1,00000; 0,00085 - 0,01143; 0,16000 - 0,47942; 0,84000 - 0,52058; 4,62000 - 2,86320; 4,39966 - 2,86320
5,50000; 1,50000; 0,00085 - 0,03685; 0,00000 - 0,20353; 1,00000 - 0,79647; 5,50000 - 4,38059; 3,50852 - 2,92040
5,50000; 2,00000; 0,00085 - 0,07474; 0,00000 - 0,09795; 1,00000 - 0,90205; 5,50000 - 4,96126; 2,70763 - 2,48063
5,50000; 2,50000; 0,00085 - 0,11946; 0,00000 - 0,05131; 1,00000 - 0,94869; 5,50000 - 5,21782; 2,13254 - 2,08713
5,50000; 3,00000; 0,00086 - 0,16634; 0,00000 - 0,02871; 1,00000 - 0,97129; 5,50000 - 5,34209; 1,78436 - 1,78070
5,50000; 3,50000; 0,00085 - 0,21245; 0,00000 - 0,01696; 1,00000 - 0,98304; 5,50000 - 5,40669; 1,54654 - 1,54477
5,50000; 4,00000; 0,00085 - 0,25624; 0,00000 - 0,01050; 1,00000 - 0,98950; 5,50000 - 5,44228; 1,40017 - 1,36057
5,50000; 4,50000; 0,00084 - 0,29705; 0,00000 - 0,00675; 1,00000 - 0,99325; 5,50000 - 5,46287; 1,22129 - 1,21397
5,50000; 5,00000; 0,00083 - 0,33469; 0,00000 - 0,00449; 1,00000 - 0,99551; 5,50000 - 5,47529; 1,05833 - 1,09506
5,50000; 5,50000; 0,02435 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 5,50000 - 5,48308; 0,97565 - 0,99692
5,50000; 6,00000; 0,10076 - 0,40087; 0,00000 - 0,00216; 1,00000 - 0,99784; 5,50000 - 5,48811; 0,89924 - 0,91468
6,00000; 0,50000; 0,00092 - 0,00081; 0,56000 - 1,67631; 0,44000 - -0,67631; 2,64000 - -4,05788; 4,76340 - -8,11576
6,00000; 1,00000; 0,00092 - 0,00870; 0,16000 - 0,56348; 0,84000 - 0,43652; 5,04000 - 2,61913; 4,77135 - 2,61913
6,00000; 1,50000; 0,00092 - 0,02913; 0,00000 - 0,24854; 1,00000 - 0,75146; 6,00000 - 4,50874; 3,82477 - 3,00583
6,00000; 2,00000; 0,00091 - 0,06107; 0,00000 - 0,12366; 1,00000 - 0,87634; 6,00000 - 5,25802; 2,92498 - 2,62901
6,00000; 2,50000; 0,00092 - 0,10034; 0,00000 - 0,06658; 1,00000 - 0,93342; 6,00000 - 5,60053; 2,31671 - 2,24021
6,00000; 3,00000; 0,00093 - 0,14286; 0,00000 - 0,03810; 1,00000 - 0,96190; 6,00000 - 5,77143; 1,96846 - 1,92381
6,00000; 3,50000; 0,00093 - 0,18576; 0,00000 - 0,02292; 1,00000 - 0,97708; 6,00000 - 5,86249; 1,70408 - 1,67500
6,00000; 4,00000; 0,00091 - 0,22735; 0,00000 - 0,01439; 1,00000 - 0,98561; 6,00000 - 5,91368; 1,50595 - 1,47842
6,00000; 4,50000; 0,00093 - 0,26674; 0,00000 - 0,00937; 1,00000 - 0,99063; 6,00000 - 5,94380; 1,32839 - 1,32084
6,00000; 5,00000; 0,00093 - 0,30355; 0,00000 - 0,00629; 1,00000 - 0,99371; 6,00000 - 5,96223; 1,15199 - 1,19245
6,00000; 5,50000; 0,00094 - 0,33768; 0,00000 - 0,00435; 1,00000 - 0,99565; 6,00000 - 5,97391; 1,07237 - 1,08617
6,00000; 6,00000; 0,03828 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 6,00000 - 5,98154; 0,96172 - 0,99692
